"alias","logo","path_0","path_1","path_2","path_3","path_4","path_5","path_6","path_7","time"
"","","","","","","","","","",""
"Tim","path/logo_303_path_full.svg","true","true","false","false","false","false","false","false","Timestamp(seconds=1617453352, nanoseconds=215000000)"
"Sarah","path/logo_283_path_full.svg","true","false","false","false","false","false","false","false","Timestamp(seconds=1617453679, nanoseconds=713000000)"
"TestJani","path/logo_162_path_full.svg","false","false","false","false","false","false","false","false",""
"Jonas","path/logo_3_path_full.svg","false","false","false","false","false","false","false","false",""
"Löschen","path/logo_274_path_full.svg","false","false","false","false","false","false","false","false","Timestamp(seconds=1617461066, nanoseconds=774000000)"
"Tim","path/logo_32_path_full.svg","true","false","false","false","false","false","false","false",""
"TestJani","path/logo_181_path_full.svg","false","false","false","false","false","false","false","false",""
"Löschen","path/logo_256_path_full.svg","false","false","false","false","false","false","false","false","Timestamp(seconds=1617461026, nanoseconds=381000000)"
"rebecca","path/logo_119_path_full.svg","false","true","true","true","false","false","false","false",""
"Niklas","path/logo_37_path_full.svg","true","false","false","false","false","false","false","false",""
"Sarah","path/logo_290_path_full.svg","true","true","false","false","false","false","false","false","Timestamp(seconds=1617453702, nanoseconds=165000000)"
"Jani","path/logo_154_path_full.svg","true","true","false","false","true","true","false","false",""
"Ramo","path/logo_230_path_full.svg","false","false","false","false","false","false","false","false",""
"Jakob","path/logo_418_path_full.svg","true","false","false","false","false","false","false","false","Timestamp(seconds=1617450870, nanoseconds=971000000)"
"Niklas","path/logo_119_path_full.svg","true","true","true","true","false","false","false","false",""
"rebecca","path/logo_93_path_full.svg","true","true","true","false","false","false","false","false",""
"Lena","path/logo_22_path_full.svg","true","true","true","false","false","false","false","false",""
"Tim_Harry","path/logo_187_path_full.svg","true","true","false","false","false","false","false","false",""
"rebecca","path/logo_35_path_full.svg","false","false","false","false","false","false","false","false",""
"Lena","path/logo_128_path_full.svg","true","true","true","false","false","false","false","false",""
"TestJani","path/logo_151_path_full.svg","false","false","false","false","false","false","false","false",""
"Lena","path/logo_0_path_full.svg","true","true","true","true","true","true","true","false",""
"Jan B.","path/logo_406_path_full.svg","true","false","false","false","false","false","false","false","Timestamp(seconds=1617454631, nanoseconds=995000000)"
"Sarah","path/logo_292_path_full.svg","false","false","false","true","false","false","false","false","Timestamp(seconds=1617453716, nanoseconds=605000000)"
"","path/logo_0_path_full.svg","false","false","false","true","false","false","true","false",""
