"alias","animation_file","animation_id","logo_id","path_0_rating","path_1_rating","path_2_rating","path_3_rating","path_4_rating","path_5_rating","path_6_rating","path_7_rating","time"
"Rebecca","animation/logo_160_animation_7.svg","7","160","no_rating","Okay","no_rating","no_rating","no_rating","no_rating","no_rating","no_rating","Timestamp(seconds=1618018897, nanoseconds=373000000)"
"Tim","animation/logo_376_animation_4.svg","4","376","Good","Very Bad","no_rating","Okay","no_rating","no_rating","no_rating","no_rating","Timestamp(seconds=1617888815, nanoseconds=429000000)"
"Jonathan","animation/logo_314_animation_6.svg","6","314","Okay","Very Bad","no_rating","no_rating","no_rating","no_rating","no_rating","no_rating","Timestamp(seconds=1617894763, nanoseconds=657000000)"
"Jonathan","animation/logo_426_animation_12.svg","12","426","Okay","Very Bad","no_rating","no_rating","no_rating","no_rating","no_rating","no_rating","Timestamp(seconds=1618679935, nanoseconds=42000000)"
"Jonathan","animation/logo_265_animation_2.svg","2","265","Very Bad","no_rating","no_rating","no_rating","no_rating","no_rating","no_rating","no_rating","Timestamp(seconds=1617828825, nanoseconds=578000000)"
"Jakob","animation/logo_369_animation_0.svg","0","369","Good","no_rating","no_rating","no_rating","no_rating","no_rating","no_rating","no_rating","Timestamp(seconds=1617885157, nanoseconds=40000000)"
"Jonathan","animation/logo_161_animation_13.svg","13","161","Okay","no_rating","Okay","no_rating","no_rating","no_rating","no_rating","no_rating","Timestamp(seconds=1618684477, nanoseconds=820000000)"
"Jonathan","animation/logo_249_animation_9.svg","9","249","Okay","Good","no_rating","no_rating","no_rating","no_rating","no_rating","no_rating","Timestamp(seconds=1618151068, nanoseconds=588000000)"
"Rebecca","animation/logo_378_animation_1.svg","1","378","Good","Good","Bad","no_rating","no_rating","no_rating","no_rating","no_rating","Timestamp(seconds=1617886748, nanoseconds=988000000)"
"Jonathan","animation/logo_298_animation_12.svg","12","298","Okay","no_rating","no_rating","no_rating","Bad","no_rating","Very Bad","no_rating","Timestamp(seconds=1618680672, nanoseconds=883000000)"
"Tim","animation/logo_289_animation_13.svg","13","289","Okay","no_rating","no_rating","no_rating","no_rating","no_rating","no_rating","no_rating","Timestamp(seconds=1618681938, nanoseconds=953000000)"
