id,total_len,nb_groups,len_groups,max_len_group,start_pos
logo_0_0,7,1,[7],7,"[P(11.9639253616333, 4.5934014320373535)]"
logo_0_1,4,1,[4],4,"[P(16.040922164916992, 8.97691535949707)]"
logo_0_3,4,1,[4],4,"[P(7.886682510375977, 8.97691535949707)]"
logo_0_2,7,1,[7],7,"[P(6.498397350311279, 13.744987487792969)]"
logo_0_4,5,1,[5],5,"[P(11.963924407958984, 4.593401908874512)]"
logo_0_5,7,1,[7],7,"[P(11.9639253616333, 4.5934014320373535)]"
logo_0_9,16,1,[16],16,"[P(14.516189575195312, 15.467767715454102)]"
logo_0_7,7,1,[7],7,"[P(10.841174125671387, 15.518811225891113)]"
logo_0_6,14,1,[14],14,"[P(9.333866119384766, 15.467767715454102)]"
logo_0_8,15,1,[15],15,"[P(12.741138458251953, 15.532554626464844)]"
logo_100_0,120,1,[120],120,"[P(12.465529441833496, 8.196613311767578)]"
logo_100_10,14,1,[14],14,"[P(11.586615562438965, 14.952962875366211)]"
logo_100_11,5,1,[5],5,"[P(12.37844467163086, 14.952962875366211)]"
logo_100_1,14,1,[14],14,"[P(4.380863189697266, 14.952962875366211)]"
logo_100_12,13,1,[13],13,"[P(12.789410591125488, 14.952962875366211)]"
logo_100_14,13,1,[13],13,"[P(14.600994110107422, 14.938986778259277)]"
logo_100_15,5,1,[5],5,"[P(15.036958694458008, 14.952962875366211)]"
logo_100_13,13,1,[13],13,"[P(13.651928901672363, 14.952962875366211)]"
logo_100_16,10,1,[10],10,"[P(15.781749725341797, 14.93871784210205)]"
logo_100_17,7,1,[7],7,"[P(16.331945419311523, 14.952962875366211)]"
logo_100_19,15,1,[15],15,"[P(18.257762908935547, 14.938448905944824)]"
logo_100_18,10,1,[10],10,"[P(17.298480987548828, 14.93871784210205)]"
logo_100_3,14,1,[14],14,"[P(6.083322048187256, 14.952963829040527)]"
logo_100_20,5,1,[5],5,"[P(18.70743179321289, 14.952962875366211)]"
logo_100_21,13,1,[13],13,"[P(19.12189292907715, 14.952962875366211)]"
logo_100_2,19,1,[19],19,"[P(5.106840133666992, 14.952962875366211)]"
logo_100_6,13,1,[13],13,"[P(8.186802864074707, 14.938986778259277)]"
logo_100_4,13,1,[13],13,"[P(6.670340538024902, 14.952962875366211)]"
logo_100_5,5,1,[5],5,"[P(7.505174160003662, 14.952962875366211)]"
logo_100_7,11,1,[11],11,"[P(8.994221687316895, 14.952962875366211)]"
logo_101_0,5,1,[5],5,"[P(11.995269775390625, 9.817630767822266)]"
logo_101_1,5,1,[5],5,"[P(9.46766185760498, 10.222175598144531)]"
logo_100_9,19,1,[19],19,"[P(10.445101737976074, 14.952962875366211)]"
logo_100_8,21,1,[21],21,"[P(9.75487232208252, 14.7277250289917)]"
logo_101_10,10,1,[10],10,"[P(5.821730136871338, 13.186044692993164)]"
logo_101_11,16,1,[16],16,"[P(6.528064250946045, 12.957794189453125)]"
logo_101_12,13,1,[13],13,"[P(7.200397491455078, 13.186044692993164)]"
logo_101_13,11,1,[11],11,"[P(7.863888740539551, 12.856865882873535)]"
logo_101_14,18,1,[18],18,"[P(9.056424140930176, 12.884577751159668)]"
logo_101_16,11,1,[11],11,"[P(10.733602523803711, 12.856865882873535)]"
logo_101_15,10,1,[10],10,"[P(9.999207496643066, 13.186044692993164)]"
logo_101_19,24,1,[24],24,"[P(12.831963539123535, 13.186071395874023)]"
logo_101_17,21,1,[21],21,"[P(11.606959342956543, 12.856865882873535)]"
logo_101_2,5,1,[5],5,"[P(9.46766185760498, 11.436161041259766)]"
logo_101_18,13,1,[13],13,"[P(12.155168533325195, 13.186044692993164)]"
logo_101_23,24,1,[24],24,"[P(16.642955780029297, 13.186071395874023)]"
logo_101_21,18,1,[18],18,"[P(14.488445281982422, 13.186071395874023)]"
logo_101_20,13,1,[13],13,"[P(13.81904125213623, 13.186044692993164)]"
logo_101_22,32,1,[32],32,"[P(15.366183280944824, 12.899280548095703)]"
logo_101_3,5,1,[5],5,"[P(10.679496765136719, 10.222175598144531)]"
logo_101_4,5,1,[5],5,"[P(10.679496765136719, 11.436161041259766)]"
logo_101_25,22,1,[22],22,"[P(18.361499786376953, 13.186044692993164)]"
logo_101_26,21,1,[21],21,"[P(19.41802978515625, 12.856866836547852)]"
logo_101_24,10,1,[10],10,"[P(17.641860961914062, 13.186044692993164)]"
logo_101_6,5,1,[5],5,"[P(15.33347225189209, 11.588211059570312)]"
logo_101_8,5,1,[5],5,"[P(13.816488265991211, 11.588211059570312)]"
logo_101_5,5,1,[5],5,"[P(15.33347225189209, 10.07122802734375)]"
logo_101_7,5,1,[5],5,"[P(13.816488265991211, 10.07122802734375)]"
logo_102_1,5,1,[5],5,"[P(14.254524230957031, 11.19995403289795)]"
logo_101_9,29,1,[29],29,"[P(4.380946159362793, 12.899280548095703)]"
logo_102_10,18,1,[18],18,"[P(9.127571105957031, 14.795435905456543)]"
logo_102_0,5,1,[5],5,"[P(12.005375862121582, 8.387491226196289)]"
logo_102_12,16,1,[16],16,"[P(10.445117950439453, 14.807371139526367)]"
logo_102_11,10,1,[10],10,"[P(9.97617244720459, 14.795435905456543)]"
logo_102_14,27,1,[27],27,"[P(11.991130828857422, 14.807371139526367)]"
logo_102_13,16,1,[16],16,"[P(11.149704933166504, 14.807371139526367)]"
logo_102_16,27,1,[27],27,"[P(13.577648162841797, 14.807371139526367)]"
logo_102_15,23,1,[23],23,"[P(12.71235466003418, 14.807371139526367)]"
logo_102_17,25,1,[25],25,"[P(14.295270919799805, 14.807371139526367)]"
logo_102_18,32,1,[32],32,"[P(15.493585586547852, 14.763343811035156)]"
logo_102_2,5,1,[5],5,"[P(14.114945411682129, 11.854521751403809)]"
logo_102_20,10,1,[10],10,"[P(17.651805877685547, 14.750818252563477)]"
logo_102_19,23,1,[23],23,"[P(16.351594924926758, 14.763343811035156)]"
logo_102_3,5,1,[5],5,"[P(13.598505020141602, 11.855515480041504)]"
logo_102_22,24,1,[24],24,"[P(18.91191291809082, 14.763343811035156)]"
logo_102_4,10,1,[10],10,"[P(12.005375862121582, 11.106444358825684)]"
logo_102_21,20,1,[20],20,"[P(18.14808464050293, 14.763343811035156)]"
logo_102_5,29,1,[29],29,"[P(4.501468658447266, 14.807371139526367)]"
logo_102_6,10,1,[10],10,"[P(5.751093864440918, 14.795435905456543)]"
logo_102_7,17,1,[17],17,"[P(6.2105512619018555, 14.807343482971191)]"
logo_102_9,16,1,[16],16,"[P(7.630396366119385, 14.807371139526367)]"
logo_102_8,27,1,[27],27,"[P(6.905596733093262, 14.807371139526367)]"
logo_103_0,53,1,[53],53,"[P(5.543878555297852, 9.840343475341797)]"
logo_103_10,5,1,[5],5,"[P(10.428975105285645, 16.2010498046875)]"
logo_103_11,17,1,[17],17,"[P(10.949872970581055, 15.92957878112793)]"
logo_103_1,26,1,[26],26,"[P(9.502218246459961, 11.902432441711426)]"
logo_103_12,13,1,[13],13,"[P(11.534740447998047, 15.92957878112793)]"
logo_103_14,9,1,[9],9,"[P(12.558259010314941, 15.929579734802246)]"
logo_103_15,13,1,[13],13,"[P(13.255475997924805, 15.929579734802246)]"
logo_103_16,13,1,[13],13,"[P(13.709717750549316, 15.929579734802246)]"
logo_103_13,21,1,[21],21,"[P(12.248353958129883, 15.92957878112793)]"
logo_103_19,11,1,[11],11,"[P(15.528290748596191, 15.92957878112793)]"
logo_103_18,13,1,[13],13,"[P(15.064910888671875, 15.929579734802246)]"
logo_103_17,17,1,[17],17,"[P(14.326300621032715, 15.92957878112793)]"
logo_103_2,36,1,[36],36,"[P(12.145681381225586, 11.735519409179688)]"
logo_103_20,9,1,[9],9,"[P(16.117727279663086, 15.929579734802246)]"
logo_103_21,110,1,[110],110,"[P(15.92313003540039, 7.6067728996276855)]"
logo_103_3,35,1,[35],35,"[P(14.252386093139648, 11.876629829406738)]"
logo_103_22,113,1,[113],113,"[P(16.70340347290039, 7.4231953620910645)]"
logo_103_4,40,1,[40],40,"[P(15.925276756286621, 11.815077781677246)]"
logo_103_5,13,1,[13],13,"[P(7.38395357131958, 15.92957878112793)]"
logo_103_6,18,1,[18],18,"[P(8.195404052734375, 15.929579734802246)]"
logo_103_9,7,1,[7],7,"[P(9.688751220703125, 15.92957878112793)]"
logo_103_7,9,1,[9],9,"[P(8.546432495117188, 15.929579734802246)]"
logo_104_0,5,1,[5],5,"[P(17.136138916015625, 11.877704620361328)]"
logo_104_1,5,1,[5],5,"[P(16.381938934326172, 12.829727172851562)]"
logo_103_8,13,1,[13],13,"[P(9.163285255432129, 15.92957878112793)]"
logo_104_10,13,1,[13],13,"[P(5.952157020568848, 15.805940628051758)]"
logo_104_11,16,1,[16],16,"[P(6.790754318237305, 15.799219131469727)]"
logo_104_13,5,1,[5],5,"[P(7.751914978027344, 16.07929039001465)]"
logo_104_12,11,1,[11],11,"[P(7.543341159820557, 15.805940628051758)]"
logo_104_14,13,1,[13],13,"[P(8.527079582214355, 15.894906997680664)]"
logo_104_15,19,1,[19],19,"[P(9.454105377197266, 15.797606468200684)]"
logo_104_19,13,1,[13],13,"[P(11.912108421325684, 15.805671691894531)]"
logo_104_16,13,1,[13],13,"[P(9.895444869995117, 15.805671691894531)]"
logo_104_2,5,1,[5],5,"[P(16.856605529785156, 10.353715896606445)]"
logo_104_18,20,1,[20],20,"[P(11.054159164428711, 15.805403709411621)]"
logo_104_17,13,1,[13],13,"[P(10.456928253173828, 15.805940628051758)]"
logo_104_20,19,1,[19],19,"[P(12.675984382629395, 15.797606468200684)]"
logo_104_23,5,1,[5],5,"[P(14.293240547180176, 15.805940628051758)]"
logo_104_21,21,1,[21],21,"[P(13.116517066955566, 15.805670738220215)]"
logo_104_24,15,1,[15],15,"[P(14.687543869018555, 15.805939674377441)]"
logo_104_22,13,1,[13],13,"[P(13.731757164001465, 15.805671691894531)]"
logo_104_25,5,1,[5],5,"[P(15.335573196411133, 15.805940628051758)]"
logo_104_28,15,1,[15],15,"[P(17.027820587158203, 15.805939674377441)]"
logo_104_27,15,1,[15],15,"[P(16.36957550048828, 15.805939674377441)]"
logo_104_26,19,1,[19],19,"[P(15.931461334228516, 15.797606468200684)]"
