id,total_len,nb_groups,len_groups,max_len_group,start_pos
logo_0,86,10,"[7, 7, 5, 4, 4, 7, 14, 16, 7, 15]",16,"[P(11.9639253616333, 4.5934014320373535), P(11.9639253616333, 4.5934014320373535), P(11.963924407958984, 4.593401908874512), P(7.886682510375977, 8.97691535949707), P(16.040922164916992, 8.97691535949707), P(6.498397350311279, 13.744987487792969), P(9.333866119384766, 15.467767715454102), P(14.516189575195312, 15.467767715454102), P(10.841174125671387, 15.518811225891113), P(12.741138458251953, 15.532554626464844)]"
logo_1,114,8,"[7, 7, 8, 10, 23, 23, 15, 21]",23,"[P(8.111812591552734, 9.714151382446289), P(8.111812591552734, 9.714151382446289), P(8.156431198120117, 10.47614574432373), P(11.95538330078125, 11.011557579040527), P(10.309098243713379, 11.01693344116211), P(15.653003692626953, 11.01693344116211), P(7.648972034454346, 11.025534629821777), P(12.646955490112305, 11.044886589050293)]"
logo_10,112,13,"[11, 14, 11, 13, 9, 9, 11, 6, 6, 5, 6, 6, 5]",14,"[P(5.903238773345947, 10.45088005065918), P(12.530304908752441, 11.600725173950195), P(10.337051391601562, 11.600994110107422), P(7.856202125549316, 11.638355255126953), P(14.242441177368164, 11.638355255126953), P(16.639968872070312, 11.63862419128418), P(18.104825973510742, 11.63862419128418), P(6.18169641494751, 11.90176010131836), P(14.586480140686035, 11.902029037475586), P(16.787797927856445, 11.99852180480957), P(6.176320552825928, 12.692245483398438), P(14.581106185913086, 12.692245483398438), P(13.439322471618652, 13.167987823486328)]"
logo_100,372,30,"[120, 5, 5, 15, 5, 5, 13, 13, 8, 13, 13, 5, 11, 11, 13, 14, 5, 13, 13, 5, 7, 5, 13, 9, 5, 5, 6, 6, 6, 5]",120,"[P(12.465529441833496, 8.196613311767578), P(9.75487232208252, 14.7277250289917), P(9.961027145385742, 14.7277250289917), P(18.257762908935547, 14.938448905944824), P(15.781749725341797, 14.93871784210205), P(17.298480987548828, 14.93871784210205), P(8.186802864074707, 14.938986778259277), P(14.600994110107422, 14.938986778259277), P(4.380863189697266, 14.952962875366211), P(5.106840133666992, 14.952962875366211), P(6.670340538024902, 14.952962875366211), P(7.505174160003662, 14.952962875366211), P(8.994221687316895, 14.952962875366211), P(9.62209415435791, 14.952962875366211), P(10.445101737976074, 14.952962875366211), P(11.586615562438965, 14.952962875366211), P(12.37844467163086, 14.952962875366211), P(12.789410591125488, 14.952962875366211), P(13.651928901672363, 14.952962875366211), P(15.036958694458008, 14.952962875366211), P(16.331945419311523, 14.952962875366211), P(18.70743179321289, 14.952962875366211), P(19.12189292907715, 14.952962875366211), P(6.083322048187256, 14.952963829040527), P(15.781749725341797, 15.080097198486328), P(17.298480987548828, 15.080097198486328), P(5.29633092880249, 15.094341278076172), P(10.634324073791504, 15.094341278076172), P(4.570084571838379, 15.099180221557617), P(6.18734073638916, 15.113425254821777)]"
logo_101,361,35,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 11, 11, 16, 21, 18, 29, 32, 16, 5, 9, 5, 9, 9, 5, 17, 24, 18, 24, 5, 5, 5, 4, 4, 4, 5, 5]",32,"[P(11.995269775390625, 9.817630767822266), P(13.816488265991211, 10.07122802734375), P(15.33347225189209, 10.07122802734375), P(9.46766185760498, 10.222175598144531), P(10.679496765136719, 10.222175598144531), P(9.46766185760498, 11.436161041259766), P(10.679496765136719, 11.436161041259766), P(13.816488265991211, 11.588211059570312), P(15.33347225189209, 11.588211059570312), P(7.863888740539551, 12.856865882873535), P(10.733602523803711, 12.856865882873535), P(11.606959342956543, 12.856865882873535), P(19.41802978515625, 12.856866836547852), P(9.056424140930176, 12.884577751159668), P(4.380946159362793, 12.899280548095703), P(15.366183280944824, 12.899280548095703), P(6.528064250946045, 12.957794189453125), P(5.821730136871338, 13.186044692993164), P(7.200397491455078, 13.186044692993164), P(9.999207496643066, 13.186044692993164), P(12.155168533325195, 13.186044692993164), P(13.81904125213623, 13.186044692993164), P(17.641860961914062, 13.186044692993164), P(18.361499786376953, 13.186044692993164), P(12.831963539123535, 13.186071395874023), P(14.488445281982422, 13.186071395874023), P(16.642955780029297, 13.186071395874023), P(5.82170295715332, 13.235769271850586), P(9.99917984008789, 13.235769271850586), P(17.641860961914062, 13.235769271850586), P(7.194484710693359, 13.235796928405762), P(12.1492280960083, 13.235796928405762), P(13.813101768493652, 13.235796928405762), P(11.30842113494873, 13.256278038024902), P(18.50185775756836, 13.269421577453613)]"
logo_102,400,30,"[5, 5, 5, 5, 5, 5, 5, 32, 23, 14, 24, 5, 18, 5, 17, 29, 27, 16, 16, 10, 27, 23, 27, 19, 5, 6, 5, 5, 6, 6]",32,"[P(12.005375862121582, 8.387491226196289), P(12.005375862121582, 11.106444358825684), P(14.254524230957031, 11.19995403289795), P(12.005402565002441, 11.574986457824707), P(14.114945411682129, 11.854521751403809), P(13.598505020141602, 11.855515480041504), P(17.651805877685547, 14.750818252563477), P(15.493585586547852, 14.763343811035156), P(16.351594924926758, 14.763343811035156), P(18.14808464050293, 14.763343811035156), P(18.91191291809082, 14.763343811035156), P(5.751093864440918, 14.795435905456543), P(9.127571105957031, 14.795435905456543), P(9.97617244720459, 14.795435905456543), P(6.2105512619018555, 14.807343482971191), P(4.501468658447266, 14.807371139526367), P(6.905596733093262, 14.807371139526367), P(7.630396366119385, 14.807371139526367), P(10.445117950439453, 14.807371139526367), P(11.149704933166504, 14.807371139526367), P(11.991130828857422, 14.807371139526367), P(12.71235466003418, 14.807371139526367), P(13.577648162841797, 14.807371139526367), P(14.295270919799805, 14.807371139526367), P(17.651803970336914, 14.81110668182373), P(18.46963119506836, 14.821104049682617), P(5.751093864440918, 14.852579116821289), P(9.97617244720459, 14.852579116821289), P(11.457919120788574, 14.862093925476074), P(14.602301597595215, 14.86209487915039)]"
logo_103,614,30,"[113, 110, 29, 24, 27, 40, 35, 26, 9, 13, 13, 7, 11, 13, 21, 11, 11, 9, 9, 9, 9, 13, 9, 9, 6, 6, 9, 4, 4, 5]",113,"[P(16.70340347290039, 7.4231953620910645), P(15.92313003540039, 7.6067728996276855), P(5.543878555297852, 9.840343475341797), P(9.237467765808105, 9.92823600769043), P(12.145681381225586, 11.735519409179688), P(15.925276756286621, 11.815077781677246), P(14.252386093139648, 11.876629829406738), P(9.502218246459961, 11.902432441711426), P(11.73982048034668, 12.026071548461914), P(7.38395357131958, 15.92957878112793), P(9.163285255432129, 15.92957878112793), P(9.688751220703125, 15.92957878112793), P(10.949872970581055, 15.92957878112793), P(11.534740447998047, 15.92957878112793), P(12.248353958129883, 15.92957878112793), P(14.326300621032715, 15.92957878112793), P(15.528290748596191, 15.92957878112793), P(8.195404052734375, 15.929579734802246), P(8.546432495117188, 15.929579734802246), P(12.558259010314941, 15.929579734802246), P(13.255475997924805, 15.929579734802246), P(13.709717750549316, 15.929579734802246), P(15.064910888671875, 15.929579734802246), P(16.117727279663086, 15.929579734802246), P(11.050396919250488, 16.020965576171875), P(14.427093505859375, 16.020965576171875), P(8.195404052734375, 16.022846221923828), P(13.312995910644531, 16.073108673095703), P(15.122430801391602, 16.073108673095703), P(10.428975105285645, 16.2010498046875)]"
logo_105,374,31,"[5, 15, 11, 7, 13, 13, 60, 17, 5, 15, 13, 13, 13, 13, 13, 13, 13, 11, 13, 13, 13, 12, 13, 5, 5, 11, 5, 5, 6, 5, 5]",60,"[P(13.210322380065918, 8.419029235839844), P(11.641446113586426, 10.690498352050781), P(14.299422264099121, 10.690498352050781), P(6.322537422180176, 10.720333099365234), P(8.599113464355469, 10.720333099365234), P(15.830937385559082, 10.720333099365234), P(4.380863189697266, 14.704744338989258), P(11.254940032958984, 15.079692840576172), P(7.312458038330078, 15.079693794250488), P(8.909286499023438, 15.079693794250488), P(9.765085220336914, 15.079961776733398), P(12.708775520324707, 15.079961776733398), P(14.465797424316406, 15.079961776733398), P(15.53742790222168, 15.079961776733398), P(16.60637092590332, 15.079961776733398), P(17.372127532958984, 15.079961776733398), P(6.470904350280762, 15.089369773864746), P(7.770461082458496, 15.089369773864746), P(10.14111042022705, 15.089369773864746), P(10.599113464355469, 15.089369773864746), P(12.014513969421387, 15.089369773864746), P(13.084800720214844, 15.089369773864746), P(13.61994457244873, 15.089369773864746), P(14.0752592086792, 15.089369773864746), P(14.992609024047852, 15.089369773864746), P(15.912647247314453, 15.089369773864746), P(8.907942771911621, 15.143125534057617), P(7.312458038330078, 15.151189804077148), P(13.17349910736084, 15.161134719848633), P(8.879182815551758, 15.329660415649414), P(8.177395820617676, 15.353850364685059)]"
logo_104,371,32,"[4, 5, 5, 5, 5, 17, 15, 7, 13, 13, 19, 19, 19, 19, 8, 20, 13, 13, 13, 13, 15, 15, 15, 13, 11, 13, 5, 5, 8, 8, 13, 5]",20,"[P(17.523452758789062, 7.686601161956787), P(18.09514808654785, 8.924875259399414), P(16.856605529785156, 10.353715896606445), P(17.136138916015625, 11.877704620361328), P(16.381938934326172, 12.829727172851562), P(8.437576293945312, 13.238811492919922), P(10.543476104736328, 13.239081382751465), P(4.380863189697266, 13.271872520446777), P(5.940061569213867, 13.271872520446777), P(11.604623794555664, 13.271872520446777), P(9.454105377197266, 15.797606468200684), P(12.675984382629395, 15.797606468200684), P(15.931461334228516, 15.797606468200684), P(17.877437591552734, 15.797606468200684), P(6.790754318237305, 15.799219131469727), P(11.054159164428711, 15.805403709411621), P(13.116517066955566, 15.805670738220215), P(9.895444869995117, 15.805671691894531), P(11.912108421325684, 15.805671691894531), P(13.731757164001465, 15.805671691894531), P(14.687543869018555, 15.805939674377441), P(16.36957550048828, 15.805939674377441), P(17.027820587158203, 15.805939674377441), P(5.952157020568848, 15.805940628051758), P(7.543341159820557, 15.805940628051758), P(10.456928253173828, 15.805940628051758), P(14.293240547180176, 15.805940628051758), P(15.335573196411133, 15.805940628051758), P(6.7891411781311035, 15.880661010742188), P(13.219998359680176, 15.890605926513672), P(8.527079582214355, 15.894906997680664), P(7.751914978027344, 16.07929039001465)]"
logo_107,312,29,"[3, 5, 13, 11, 7, 13, 13, 5, 5, 15, 15, 15, 15, 13, 11, 13, 13, 17, 13, 13, 13, 5, 13, 5, 11, 13, 5, 6, 13]",17,"[P(7.583389759063721, 11.028759956359863), P(5.002285003662109, 11.411234855651855), P(13.880929946899414, 11.46337890625), P(16.496707916259766, 11.46337890625), P(8.690767288208008, 11.496707916259766), P(10.720333099365234, 11.496707916259766), P(17.981992721557617, 11.496707916259766), P(4.380863189697266, 13.89665412902832), P(9.538772583007812, 13.906061172485352), P(11.547104835510254, 13.906061172485352), P(14.555570602416992, 13.906061172485352), P(17.622364044189453, 13.906061172485352), P(19.463245391845703, 13.906061172485352), P(8.75151252746582, 13.914393424987793), P(9.98279857635498, 13.914393424987793), P(11.933073997497559, 13.914393424987793), P(12.452628135681152, 13.914393424987793), P(13.007660865783691, 13.914393424987793), P(13.799489974975586, 13.914393424987793), P(14.941539764404297, 13.914393424987793), P(15.512432098388672, 13.914393424987793), P(16.03252410888672, 13.914393424987793), P(16.39618492126465, 13.914393424987793), P(17.020294189453125, 13.914393424987793), P(18.003225326538086, 13.914393424987793), P(18.60260772705078, 13.914393424987793), P(9.538772583007812, 13.987502098083496), P(15.050666809082031, 13.995834350585938), P(10.731353759765625, 14.046902656555176)]"
